100%|██████████| 135/135 [06:05<00:00,  2.71s/it]
{'loss': 2.237, 'grad_norm': 6.470911026000977, 'learning_rate': 1.851851851851852e-05, 'epoch': 0.37}
{'loss': 1.9353, 'grad_norm': 5.84201192855835, 'learning_rate': 1.7037037037037038e-05, 'epoch': 0.74}
{'loss': 1.8528, 'grad_norm': 10.625469207763672, 'learning_rate': 1.555555555555556e-05, 'epoch': 1.11}
{'loss': 1.4984, 'grad_norm': 8.358599662780762, 'learning_rate': 1.4074074074074075e-05, 'epoch': 1.48}
{'loss': 1.2902, 'grad_norm': 10.021191596984863, 'learning_rate': 1.2592592592592593e-05, 'epoch': 1.85}
{'loss': 1.1181, 'grad_norm': 9.749211311340332, 'learning_rate': 1.1111111111111113e-05, 'epoch': 2.22}
{'loss': 0.9016, 'grad_norm': 10.860039710998535, 'learning_rate': 9.62962962962963e-06, 'epoch': 2.59}
{'loss': 0.8649, 'grad_norm': 10.677590370178223, 'learning_rate': 8.148148148148148e-06, 'epoch': 2.96}
{'loss': 0.8363, 'grad_norm': 7.556873798370361, 'learning_rate': 6.666666666666667e-06, 'epoch': 3.33}
{'loss': 0.6773, 'grad_norm': 6.23643159866333, 'learning_rate': 5.185185185185185e-06, 'epoch': 3.7}
{'loss': 0.5664, 'grad_norm': 10.18820858001709, 'learning_rate': 3.7037037037037037e-06, 'epoch': 4.07}
{'loss': 0.6776, 'grad_norm': 7.471083641052246, 'learning_rate': 2.222222222222222e-06, 'epoch': 4.44}
{'loss': 0.5656, 'grad_norm': 6.058455944061279, 'learning_rate': 7.407407407407407e-07, 'epoch': 4.81}
{'train_runtime': 366.5718, 'train_samples_per_second': 1.473, 'train_steps_per_second': 0.368, 'train_loss': 1.1318984155301695, 'epoch': 5.0}
