100%|██████████| 135/135 [06:24<00:00,  2.85s/it]
{'loss': 2.3456, 'grad_norm': 7.425276756286621, 'learning_rate': 1.851851851851852e-05, 'epoch': 0.37}
{'loss': 1.9364, 'grad_norm': 9.532800674438477, 'learning_rate': 1.7037037037037038e-05, 'epoch': 0.74}
{'loss': 1.713, 'grad_norm': 8.6815185546875, 'learning_rate': 1.555555555555556e-05, 'epoch': 1.11}
{'loss': 1.4166, 'grad_norm': 9.155900001525879, 'learning_rate': 1.4074074074074075e-05, 'epoch': 1.48}
{'loss': 1.1148, 'grad_norm': 7.691855430603027, 'learning_rate': 1.2592592592592593e-05, 'epoch': 1.85}
{'loss': 0.9536, 'grad_norm': 8.717723846435547, 'learning_rate': 1.1111111111111113e-05, 'epoch': 2.22}
{'loss': 0.7827, 'grad_norm': 9.587004661560059, 'learning_rate': 9.62962962962963e-06, 'epoch': 2.59}
{'loss': 0.7915, 'grad_norm': 8.312837600708008, 'learning_rate': 8.148148148148148e-06, 'epoch': 2.96}
{'loss': 0.6848, 'grad_norm': 8.411365509033203, 'learning_rate': 6.666666666666667e-06, 'epoch': 3.33}
{'loss': 0.5649, 'grad_norm': 5.497636795043945, 'learning_rate': 5.185185185185185e-06, 'epoch': 3.7}
{'loss': 0.4873, 'grad_norm': 8.222491264343262, 'learning_rate': 3.7037037037037037e-06, 'epoch': 4.07}
{'loss': 0.5673, 'grad_norm': 7.442200660705566, 'learning_rate': 2.222222222222222e-06, 'epoch': 4.44}
{'loss': 0.4698, 'grad_norm': 3.0787525177001953, 'learning_rate': 7.407407407407407e-07, 'epoch': 4.81}
{'train_runtime': 385.627, 'train_samples_per_second': 1.4, 'train_steps_per_second': 0.35, 'train_loss': 1.0407232726061786, 'epoch': 5.0}
